ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
RemoveParam	Удалить столбец ручных измерений	Измерения	Удаление выбранных результатов ручных измерений из списка объектов Удалить столбец ручных измерений		c:\vt5\vt5\x64\Debug\comps\DataView.dll	ParamKey:int=-1		
CreateNewParam	Создать новый параметр измерений	Internal Actions	Создать новый параметр для ручных измерений Создать новый параметр измерений		c:\vt5\vt5\x64\Debug\comps\DataView.dll	ParamType:string; ParamName:string; Number:int=1		
ShowClassView	Показать классы	Вид	Показать классы Показать классы		c:\vt5\vt5\x64\Debug\comps\DataView.dll			
ShowMeasView	Таблица измерений	Вид	Показать результаты измерений Таблица измерений		c:\vt5\vt5\x64\Debug\comps\DataView.dll			
ZoomInTable	Увеличить на 10 %	Вид	Увеличить на 10 % Увеличить на 10%		c:\vt5\vt5\x64\Debug\comps\DataView.dll			
ZoomOutTable	Уменьшить на 10 %	Вид	Уменьшить на 10 % Уменьшить на 10 %		c:\vt5\vt5\x64\Debug\comps\DataView.dll			
RemoveMMObjects	Удалить все	Измерения	Удаление всех результатов ручных измерений из активного списка Удалить все		c:\vt5\vt5\x64\Debug\comps\DataView.dll	ObjList:string		
AlignGridByCell	Выравнивание по выделенной ячейке	Вид	Выравнивание размера всех ячеек таблицы по выделенной Выравнивание по выделенной ячейке		c:\vt5\vt5\x64\Debug\comps\DataView.dll	CellRow:int=-1; CellCol:int=-1		
AlignGridDefault	Выравнивание по умолчанию	Вид	Выравнивание размера всех ячеек таблицы по умолчанию Выравнивание по умолчанию		c:\vt5\vt5\x64\Debug\comps\DataView.dll			
GridMoveParam	Переместить колонку	---	Переместить колонку Переместить колонку		c:\vt5\vt5\x64\Debug\comps\DataView.dll	ParamKey:int=-1; ParamKeyAfter:int=100		
GridParamWidth	Ширина колонки	---	Ширина колонки Ширина колонки		c:\vt5\vt5\x64\Debug\comps\DataView.dll	ParamKey:int=-1; Width:int=100		
GridRenameParam	Переименовать параметр	---	Переименовать параметр Переименовать параметр		c:\vt5\vt5\x64\Debug\comps\DataView.dll	ParamKey:int=-1; Name:string=NewName		
NewDBFromTemplate	Новая база из активной...	База данных	Создать новую базу на основе активной Новая база из активной		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
EmptyDBField	Очистить поле	База данных	Удалить данные из поля Очистить поле		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
UpdateRecordsetInfo	UpdateRecordsetInfo	База данных	UpdateRecordsetInfo UpdateRecordsetInfo		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
DeleteRecords	Удалить записи	База данных	Удалить Удалить записи		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll	Question:int=1		
FieldProperties	Свойства поля...	База данных	Свойства поля Свойства поля		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
RecordInfo	Информация о записи	База данных	Информация о записи Информация о записи		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
RemoveAllSortFields	Отменить все сортировки	База данных	Отменить все сортировки Отменить все сортировки		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
AddSortFieldDesc	Добавить сортировку по убыванию	База данных	Добавить сортировку по убыванию Добавить сортировку по убыванию		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
AddSortFieldAsc	Добавить сортировку по возрастанию	База данных	Добавить сортировку по возрастанию Добавить сортировку по возрастанию		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
AdvanceConnection	Расширенное подключение	База данных	Расширенное подключение Расширенное подключение		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
LoadDatabase	Загрузить новую базу данных	База данных	Загрузить новую базу данных Загрузить новую базу данных		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
TableWizard	Структура базы данных...	База данных	Структура базы данных Структура базы данных		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
MoveFirst	Первая запись	База данных	Первая запись Первая запись		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
MoveLast	Последняя запись	База данных	Последняя запись Последняя запись		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
MoveNext	Следующая запись	База данных	Следующая запись Следующая запись		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
MovePrev	Предыдущая запись	База данных	Предыдущая запись Предыдущая запись		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
DeleteRecord	Удалить запись	База данных	Удалить запись Удалить запись		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
InsertRecord	Добавить запись	База данных	Добавить запись Добавить запись		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
EditRecord	Редактировать запись	База данных	Редактировать запись Редактировать запись		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
Update	Обновить	База данных	Обновить базу данных Обновить		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
Cancel	Отмена	База данных	Отмена Отмена		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
ChoiceQuery	Выбрать запрос	База данных	Выбрать запрос Выбрать запрос		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
ShowBlankDesign	Конструктор бланка	База данных	Конструктор бланка Конструктор бланка		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
ShowBlankPreview	Бланк	База данных	Показать записи в виде бланков Показать бланк		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
ShowGallery	Галерея	База данных	Показать записи в виде галереи Показать галерею		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
BackUpDatabase	Создать копию базы данных	База данных	Создать копию базы данных Создать копию базы данных		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll	TargetFileName:string		
RestoreDatabase	Восстановить базу данных	База данных	Восстановить базу данных Восстановить базу данных		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll	SourceFileName:string		
DBFindText	Поиск текста...	База данных	Поиск текста Поиск текста		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
DBFindTextNext	Найти далее	База данных	Найти далее Найти далее		c:\vt5\vt5\x64\Debug\comps\DBaseDoc.dll			
