ActionName	UserName	GroupName	Help	Type	FileName	ArgIn	ArgOut
BackUpDatabase	Создать копию базы данных	База данных	Создать копию базы данных Создать копию базы данных			TargetFileName:string		
RestoreDatabase	Восстановить базу данных	База данных	Восстановить базу данных Восстановить базу данных			SourceFileName:string		
DBFindText	Поиск текста...	База данных	Поиск текста Поиск текста					
DBFindTextNext	Найти далее	База данных	Найти далее Найти далее					
ShowDBGrid	Таблица	База данных	Показать запрос в виде таблицы Показать таблицу					
Requery	Перезапустить запрос	База данных	Перезапустить запрос Перезапустить запрос					
DBaseInfo	Свойства базы данных...	База данных	Свойства базы данных Свойства базы данных					
GenerateReportByQuery	Создать отчет по запросу	База данных	Создать отчет по запросу Создать отчет по запросу			Landscape:int=0; Name:string		
ExecuteSQL	Выполнить запрос на SQL	База данных	Выполнить запрос на SQL Выполнить запрос на SQL					
ChooseFilter	Выбрать фильтр	База данных	Выбрать фильтр Выбрать фильтр			FilterName:string		
CreateFilter	Добавить условие фильтра	База данных	Добавить новое условие фильтра по выбранному полю Добавить условие фильтра					
ApplyFilter	Применить фильтр	База данных	Применить фильтр, повторное нажатие - отменить фильтр Применить фильтр					
SaveFilter	Сохранить фильтр	База данных	Сохранить фильтр Сохранить фильтр					
FilterOrganizer	Редактор фильтров...	База данных	Редактор фильтров Редактор фильтров					
OpenQuery	Открыть запрос	База данных	Открыть запрос Открыть запрос					
CloseQuery	Закрыть запрос	База данных	Закрыть запрос Закрыть запрос					
GalleryOptions	Установки галереи...	База данных	Установки галереи Установки галереи					
QueryWizard	Свойства запроса...	База данных	Свойства запроса Свойства запроса					
ConvertVT4Dbase	Конвертировать базу данных VT4	База данных	Конвертировать базу данных VT4 в формат, используемый в VT5 Конвертировать базу данных VT4					
EditMarker	Произвольный маркер	Измерения	Калибровочный маркер произвольной длины Произвольный маркер	 (interactive)		X:int=0; Y:int=0; Length:double=0; Precision:int=1		
EditArrow	Стрелка	Редактор	Нанести стрелку на изображение: левая кнопка мыши Стрелка	 (interactive)				
EditCircleArrow	Set Circle Arrow	Редактор	Set circle arrow to the image Circle arrow	 (interactive)				
EditLine	Прямая линия	Редактор	Рисовать: левая или правая кнопка мыши. Shift-доп. возможности. Ctrl-Пипетка. Прямая линия	 (interactive)		X1:int=0; Y1:int=0; X2:int=0; Y2:int=0		
EditFreeLine	Произвольная линия	Редактор	Рисовать: левая или правая кнопка мыши. Ctrl-Пипетка. Произвольная линия	 (interactive)				
EditSplainLine	Линия сплайном	Редактор	Рисовать: левая или правая кнопка мыши. Ctrl-Пипетка. Завершение-двойное нажатие левой кнопки. Линия сплайном	 (interactive)				
EditCircle	Окружность	Редактор	Рисовать: левая или правая кнопка мыши. Ctrl-Пипетка. Окружность	 (interactive)		X:int=0; Y:int=0; D:int=0		
EditRect	Прямоугольник	Редактор	Рисовать: левая или правая кнопка мыши. Shift-доп. возможности. Ctrl-Пипетка. Прямоугольник	 (interactive)		Left:int=0; Top:int=0; Right:int=0; Bottom:int=0		
AutoBack	Auto Background	Internal Actions	Auto background Auto background					
PickColor	Пипетка	Редактор	Выбор цвета на изображении: правая или левая кнопки мыши Пипетка	 (interactive)		X:int=-1; Y:int=-1; SetBack:int=-1; SaveResult:int=1		
FloodFill	Заливка	Редактор	Заливка однородным цветом: правая или левая кнопка мыши. Ctrl-Пипетка. Заливка	 (interactive)		SetBack:int=-1		
Dodge	Осветление	Преобразования	Осветлить участки изображения Осветление	 (interactive)				
Burn	Затемнение	Преобразования	Затемнить участки изображения Затемнение	 (interactive)				
BinEditLine	Прямая линия на бинарном изображении	Редактор бинарного	Нанести прямую линию на бинарное изображение. Shift - дополнительные возможности. Прямая линия на бинарном изображении	 (interactive)		X1:int=0; Y1:int=0; X2:int=0; Y2:int=0		
BinEditFreeLine	Произвольная линия на бинарном изображении	Редактор бинарного	Нанести произвольную линию на бинарное изображение Произвольная линия на бинарном изображении	 (interactive)				
BinEditSplainLine	Линия сплайном на бинарном изображении	Редактор бинарного	Линия сплайном на бинарном изображении. Завершение - двойное нажатие левой кнопки мыши Линия сплайном на бинарном изображении	 (interactive)				
EditPolyline	Ломаная линия	Редактор	Рисовать: левая или правая кнопка мыши. Ctrl-Пипетка. Завершение-двойное нажатие левой кнопки. Ломаная линия	 (interactive)				
BinEditPolyline	Линия полигоном на бинарном изображении	Редактор бинарного	Линия полигоном на бинарном изображении. Завершение - двойное нажатие левой кнопки мыши Линия полигоном на бинарном изображении	 (interactive)				
Comment	Комментарий	Редактор	Нанести комментарий: левая кнопка мыши. Ctrl+Enter: переход строки. Enter: завершить. Комментарий	 (interactive)		X:int=-1; Y:int=-1; xArrow:int=-1; yArrow:int=-1; nCommentID:int=-1; Text:string		
Even	Выравнивание фона	Internal Actions	Выравнивание фона Выравнивание фона	 (filter)		MaskSize:int=16; Contrast:bool=0; EvenColor:bool=0; Restriction:bool=0; Source:Image	Even:Image	
FourierMode	Режим FFT	FFT	Начало и завершение режима быстрого преобразования Фурье Режим FFT					
Fourier	Прямое преобразование Фурье	FFT	Провести прямое преобразование Фурье на активном изображении Прямое преобразование Фурье	 (filter)		Source:Image	FFT Image:Image	
FourierBack	Обратное преобразование Фурье	FFT	Провести обратное преобразование Фурье на активном изображении Обратное преобразование Фурье	 (filter)		FFT:Image	RestoredFFT:Image	
FourierRemove	Удалить области спектра	FFT	Удалить области со спектра Фурье Удалить области спектра	 (filter)		Inside:bool=1; SelectedArea:Image	ResImage:Image	
